132333333 tensor([9024,   11, 8976], device='cuda:4') 4 4
132333333 tensor([8960,   14, 8936], device='cuda:0') 4 0
132333333 tensor([8896,   12, 8839], device='cuda:2') 4 2
132333333 tensor([8896,   12, 8839], device='cuda:1') 4 1
132333333 tensor([9024,   12, 8981], device='cuda:6') 4 6
132333333 tensor([8896,   12, 8839], device='cuda:0') 4 0
132333333 tensor([8896,   12, 8839], device='cuda:3') 4 3
132333333 tensor([9024,   12, 8981], device='cuda:7') 4 7
132333333 tensor([9024,   12, 8981], device='cuda:5') 4 5
132333333 tensor([9024,   12, 8981], device='cuda:4') 4 4
132333333 tensor([8960,   13, 8958], device='cuda:0') 4 0
132333333 tensor([8704,   14, 8665], device='cuda:6') 4 6
132333333 tensor([8704,   14, 8665], device='cuda:5') 4 5
132333333 tensor([8704,   14, 8665], device='cuda:4') 4 4
132333333 tensor([8704,   14, 8665], device='cuda:7') 4 7
132333333 tensor([8960,   13, 8958], device='cuda:2') 4 2
132333333 tensor([8960,   13, 8958], device='cuda:1') 4 1
132333333 tensor([8960,   13, 8958], device='cuda:3') 4 3
132333333 tensor([8960,   11, 8953], device='cuda:6') 4 6
132333333 tensor([8960,   11, 8953], device='cuda:7') 4 7
132333333 tensor([8960,   11, 8953], device='cuda:5') 4 5
132333333 tensor([8128,   11, 8115], device='cuda:2') 4 2
132333333 tensor([8128,   11, 8115], device='cuda:3') 4 3
132333333 tensor([8128,   11, 8115], device='cuda:0') 4 0
132333333 tensor([8128,   11, 8115], device='cuda:1') 4 1
132333333 tensor([8960,   11, 8953], device='cuda:4') 4 4
132333333 tensor([8960,   15, 8949], device='cuda:5') 4 5
132333333 tensor([8960,   12, 8902], device='cuda:1') 4 1
132333333 tensor([8960,   12, 8902], device='cuda:0') 4 0
132333333 tensor([8960,   12, 8902], device='cuda:3') 4 3
132333333 tensor([8960,   15, 8949], device='cuda:6') 4 6
132333333 tensor([8960,   12, 8902], device='cuda:2') 4 2
132333333 tensor([8960,   15, 8949], device='cuda:7') 4 7
132333333 tensor([8960,   15, 8949], device='cuda:4') 4 4
132333333 tensor([8896,   13, 8862], device='cuda:5') 4 5
132333333 tensor([8896,   13, 8862], device='cuda:7') 4 7
132333333 tensor([9024,   13, 8965], device='cuda:0') 4 0
132333333 tensor([9024,   13, 8965], device='cuda:2') 4 2
132333333 tensor([9024,   13, 8965], device='cuda:1') 4 1
132333333 tensor([8896,   13, 8862], device='cuda:6') 4 6
132333333 tensor([8896,   13, 8862], device='cuda:4') 4 4
132333333 tensor([9024,   13, 8965], device='cuda:3') 4 3
132333333 tensor([9024,   12, 8966], device='cuda:2') 4 2
132333333 tensor([9024,   12, 8966], device='cuda:0') 4 0
132333333 tensor([9024,   12, 8966], device='cuda:1') 4 1
132333333 tensor([8832,   12, 8823], device='cuda:6') 4 6
132333333 tensor([8832,   12, 8823], device='cuda:7') 4 7
132333333 tensor([8832,   12, 8823], device='cuda:5') 4 5
132333333 tensor([9024,   12, 8966], device='cuda:3') 4 3
132333333 tensor([8832,   12, 8823], device='cuda:4') 4 4
132333333 tensor([8960,   13, 8924], device='cuda:6') 4 6
132333333 tensor([8960,   13, 8924], device='cuda:7') 4 7
132333333 tensor([8896,   10, 8831], device='cuda:2') 4 2
132333333 tensor([8960,   13, 8924], device='cuda:5') 4 5
132333333 tensor([8896,   10, 8831], device='cuda:3') 4 3
132333333 tensor([8896,   10, 8831], device='cuda:0') 4 0
132333333 tensor([8960,   13, 8924], device='cuda:4') 4 4
132333333 tensor([8896,   10, 8831], device='cuda:1') 4 1
132333333 tensor([8960,   14, 8908], device='cuda:6') 4 6
132333333 tensor([9024,    8, 8985], device='cuda:1') 4 1
132333333 tensor([8960,   14, 8908], device='cuda:7') 4 7
132333333 tensor([8960,   14, 8908], device='cuda:5') 4 5
132333333 tensor([9024,    8, 8985], device='cuda:0') 4 0
132333333 tensor([8960,   14, 8908], device='cuda:4') 4 4
132333333 tensor([9024,    8, 8985], device='cuda:2') 4 2
132333333 tensor([9024,    8, 8985], device='cuda:3') 4 3
132333333 tensor([8960,   13, 8935], device='cuda:2') 4 2
132333333 tensor([8704,   10, 8647], device='cuda:7') 4 7
132333333 tensor([8960,   13, 8935], device='cuda:1') 4 1
132333333 tensor([8960,   13, 8935], device='cuda:3') 4 3
132333333 tensor([8960,   13, 8935], device='cuda:0') 4 0
132333333 tensor([8704,   10, 8647], device='cuda:6') 4 6
132333333 tensor([8704,   10, 8647], device='cuda:5') 4 5
132333333 tensor([8704,   10, 8647], device='cuda:4') 4 4
132333333 tensor([8768,   13, 8740], device='cuda:3') 4 3
132333333 tensor([8896,   11, 8886], device='cuda:7') 4 7
132333333 tensor([8768,   13, 8740], device='cuda:0') 4 0
132333333 tensor([8768,   13, 8740], device='cuda:2') 4 2
132333333 tensor([8896,   11, 8886], device='cuda:6') 4 6
132333333 tensor([8896,   11, 8886], device='cuda:5') 4 5
132333333 tensor([8768,   13, 8740], device='cuda:1') 4 1
132333333 tensor([8896,   11, 8886], device='cuda:4') 4 4
132333333 tensor([8896,   11, 8836], device='cuda:2') 4 2
132333333 tensor([8896,   11, 8836], device='cuda:1') 4 1
132333333 tensor([8896,   11, 8836], device='cuda:0') 4 0
132333333 tensor([8896,   11, 8836], device='cuda:3') 4 3
132333333 tensor([8960,   12, 8930], device='cuda:6') 4 6
132333333 tensor([8960,   12, 8930], device='cuda:7') 4 7
132333333 tensor([8960,   12, 8930], device='cuda:5') 4 5
132333333 tensor([8960,   12, 8930], device='cuda:4') 4 4
132333333 tensor([8960,   13, 8957], device='cuda:6') 4 6
132333333 tensor([8960,   11, 8924], device='cuda:1') 4 1
132333333 tensor([8960,   13, 8957], device='cuda:4') 4 4
132333333 tensor([8960,   11, 8924], device='cuda:2') 4 2
132333333 tensor([8960,   11, 8924], device='cuda:0') 4 0
132333333 tensor([8960,   13, 8957], device='cuda:5') 4 5
132333333 tensor([8960,   11, 8924], device='cuda:3') 4 3
132333333 tensor([8960,   13, 8957], device='cuda:7') 4 7
132333333 tensor([8960,   13, 8910], device='cuda:1') 4 1
132333333 tensor([8896,    9, 8891], device='cuda:6') 4 6
132333333 tensor([8960,   13, 8910], device='cuda:2') 4 2
132333333 tensor([8896,    9, 8891], device='cuda:7') 4 7
132333333 tensor([8896,    9, 8891], device='cuda:5') 4 5
132333333 tensor([8896,    9, 8891], device='cuda:4') 4 4
132333333 tensor([8960,   13, 8910], device='cuda:3') 4 3
132333333 tensor([8960,   13, 8910], device='cuda:0') 4 0
132333333 tensor([8896,   13, 8851], device='cuda:0') 4 0
132333333 tensor([8896,   13, 8851], device='cuda:1') 4 1
132333333 tensor([8896,   13, 8878], device='cuda:5') 4 5
132333333 tensor([8896,   13, 8878], device='cuda:7') 4 7
132333333 tensor([8896,   13, 8851], device='cuda:2') 4 2
132333333 tensor([8896,   13, 8878], device='cuda:4') 4 4
132333333 tensor([8896,   13, 8851], device='cuda:3') 4 3
132333333 tensor([8896,   13, 8878], device='cuda:6') 4 6
132333333 tensor([9024,   15, 8979], device='cuda:6') 4 6
132333333 tensor([8832,   12, 8772], device='cuda:2') 4 2
132333333 tensor([8832,   12, 8772], device='cuda:1') 4 1
132333333 tensor([8832,   12, 8772], device='cuda:0') 4 0
132333333 tensor([9024,   15, 8979], device='cuda:4') 4 4
132333333 tensor([9024,   15, 8979], device='cuda:5') 4 5
132333333 tensor([8832,   12, 8772], device='cuda:3') 4 3
132333333 tensor([9024,   15, 8979], device='cuda:7') 4 7
132333333 tensor([8768,   12, 8745], device='cuda:2') 4 2
132333333 tensor([8768,   12, 8745], device='cuda:1') 4 1
132333333 tensor([8960,   12, 8923], device='cuda:4') 4 4
132333333 tensor([8960,   12, 8923], device='cuda:6') 4 6
132333333 tensor([8768,   12, 8745], device='cuda:0') 4 0
132333333 tensor([8768,   12, 8745], device='cuda:3') 4 3
132333333 tensor([8960,   12, 8923], device='cuda:5') 4 5
132333333 tensor([8960,   12, 8923], device='cuda:7') 4 7
132333333 tensor([8960,   11, 8953], device='cuda:0') 4 0
132333333 tensor([8960,   11, 8953], device='cuda:1') 4 1
132333333 tensor([8960,   11, 8953], device='cuda:2') 4 2
132333333 tensor([9024,   11, 8990], device='cuda:6') 4 6
132333333 tensor([9024,   11, 8990], device='cuda:5') 4 5
132333333 tensor([9024,   11, 8990], device='cuda:7') 4 7
132333333 tensor([9024,   11, 8990], device='cuda:4') 4 4
132333333 tensor([8960,   11, 8953], device='cuda:3') 4 3
132333333 tensor([9024,   14, 8970], device='cuda:0') 4 0
132333333 tensor([9024,   14, 8970], device='cuda:2') 4 2
132333333 tensor([9024,   14, 8970], device='cuda:3') 4 3
132333333 tensor([9024,   14, 8970], device='cuda:1') 4 1
132333333 tensor([8640,    9, 8637], device='cuda:6') 4 6
132333333 tensor([8640,    9, 8637], device='cuda:4') 4 4
132333333 tensor([8640,    9, 8637], device='cuda:5') 4 5
132333333 tensor([8640,    9, 8637], device='cuda:7') 4 7
132333333 tensor([8896,   18, 8876], device='cuda:7') 4 7
